a|172.22.001.1|00:18:8b:72:92:ef;
b|172.22.001.2|00:1e:0b:bc:45:77;
c|172.22.002.3|00:1f:32:88:11:dd;
d|172.22.002.4|00:17:a4:7e:fc:43;
e|172.24.001.1|00:13:54:19:9c:2e;
f|172.24.001.2|00:16:7b:c6:fc:90;
g|172.24.002.3|00:0b:af:14:8d:5c;
h|172.24.002.4|00:1c:37:2a:63:f8;
i|172.23.001.1|00:26:0a:b5:9e:3b;
j|172.23.001.2|00:0f:61:28:73:da;
k|172.23.002.3|00:1d:90:51:e9:82;
l|172.23.002.4|00:22:fc:3d:4b:6f;
m|172.21.001.1|00:0a:95:9d:68:16;
n|172.21.001.2|00:1b:44:37:cc:80;
o|172.21.002.3|00:24:d7:eb:56:a1;
p|172.21.002.4|00:0d:3a:ef:2a:6c;
